Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
9761162807,1021445,468,,,,,,,,,,16.777,16424.894,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,7,[CUDA memcpy Host-to-Device]
9762239453,603651,469,,,,,,,,,,12.583,20837.302,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,7,[CUDA memcpy Host-to-Device]
9762850784,4864,470,,,,,,,,,,8.389,1724630.696,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,7,[CUDA memset]
10394761329,576,1754,,,,,,,,,,0.002,4222.222,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10394903602,384,1765,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10394924274,256,1768,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10394929394,224,1771,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10394932210,256,1774,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10394935602,224,1777,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10395066130,352,1788,,,,,,,,,,0.000,45.455,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10395213587,480,1801,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10395337076,384,1812,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10395343796,224,1815,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10395356052,224,1818,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10395358964,224,1821,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10395361908,224,1824,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10395516885,352,1835,,,,,,,,,,0.000,45.455,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10402104249,1408,1848,,,,,,,,,,0.024,16795.448,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10402302906,384,1859,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memset]
10402311834,256,1862,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10402577723,256,1874,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10402581435,256,1877,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
10402590107,1024,1880,,,,,,,,,,0.024,23093.738,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,17,[CUDA memcpy Host-to-Device]
