Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
72.7,1774983623,4,443745905.8,445359985.0,408523096,475740557,31742995.9,PushPop,NCCL:ncclCommDestroy
21.8,532767713,1,532767713.0,532767713.0,532767713,532767713,0.0,PushPop,NCCL:ncclCommInitRank
3.5,85499869,5,17099973.8,33250.0,29770,85336491,38145376.1,PushPop,NCCL:ncclGroupEnd
1.9,47064632,3,15688210.7,13889859.0,8071987,25102786,8656649.5,PushPop,NCCL:ncclCommSplit
0.0,682506,3,227502.0,242848.0,163239,276419,58129.6,PushPop,NCCL:ncclCommFinalize
0.0,45800,10,4580.0,2275.0,1280,15370,5144.0,PushPop,NCCL:ncclBroadcast
0.0,15480,5,3096.0,380.0,240,14090,6146.4,PushPop,NCCL:ncclGroupStart
0.0,12740,4,3185.0,3020.0,1840,4860,1404.4,PushPop,NCCL:ncclMemFree
0.0,1160,1,1160.0,1160.0,1160,1160,0.0,PushPop,NCCL:ncclCommUserRank
0.0,410,1,410.0,410.0,410,410,0.0,PushPop,NCCL:ncclCommCount
