Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.3,42921448,4,10730362.0,13807954.0,624756,14680784,6751243.4,cuLibraryLoadData
14.8,22517252,8,2814656.5,1999217.0,1486600,6282859,1670324.8,cuMemExportToShareableHandle
13.5,20480812,48,426683.6,184658.5,66999,8537084,1254821.9,cuMemSetAccess
6.7,10237742,48,213286.3,136639.0,68639,1220812,206322.5,cuMemUnmap
5.6,8469005,8,1058625.6,1007173.5,293068,1895428,553812.7,cuMemImportFromShareableHandle
4.5,6858606,97,70707.3,28060.0,90,449627,101859.0,cuMemRelease
4.4,6624077,10,662407.7,4015.0,3280,6582127,2079978.0,cuLaunchKernelEx
4.0,6110520,17,359442.4,11610.0,6020,2514003,802609.7,cudaFreeHost
3.4,5126706,16,320419.1,8534.5,2480,1823028,676777.5,cudaHostAlloc
2.7,4145072,27,153521.2,2890.0,780,4068883,782494.0,cudaStreamSynchronize
2.5,3735670,41,91113.9,48450.0,24850,1038243,173202.0,cuMemCreate
1.9,2936590,3,978863.3,889504.0,423057,1624029,605452.1,cudaMemcpy
1.8,2751220,48,57317.1,46630.0,2170,332188,52664.6,cuMemMap
1.3,1938868,13,149143.7,13540.0,570,788615,237593.8,cudaFree
1.1,1694220,7,242031.4,279238.0,5920,464517,160491.3,cudaMalloc
1.0,1537220,5,307444.0,300.0,290,1536000,686783.7,cuKernelGetFunction
0.6,961803,17,56576.6,8630.0,2690,327908,102258.7,cudaStreamCreateWithFlags
0.2,363567,1794,202.7,160.0,60,3050,141.5,cuGetProcAddress_v2
0.2,290190,37,7843.0,5490.0,2580,26570,5577.4,cudaMemsetAsync
0.2,283188,4,70797.0,37454.5,21860,186419,77838.0,cudaMemPoolCreate_v11020
0.2,272929,48,5686.0,4815.0,2380,20610,3388.1,cudaMemcpyAsync
0.1,213169,48,4441.0,3300.0,1690,21280,4273.5,cuMemAddressFree
0.1,192048,4,48012.0,37459.5,34170,82959,23350.8,cudaMemPoolDestroy_v11020
0.1,167038,48,3480.0,2645.0,1300,14470,2628.3,cuMemAddressReserve
0.1,156240,18,8680.0,7130.0,3540,15310,3853.2,cudaStreamDestroy
0.1,140270,294,477.1,295.0,150,4310,578.0,cudaThreadExchangeStreamCaptureMode_v10010
0.1,82479,48,1718.3,1070.0,380,7120,1593.5,cuMemRetainAllocationHandle
0.0,74299,22,3377.2,2940.0,1850,8329,1853.2,cudaEventRecord
0.0,65150,5,13030.0,10690.0,6650,23480,7322.0,cudaMemcpy2DAsync
0.0,50690,42,1206.9,1000.0,460,3610,832.0,cudaStreamWaitEvent
0.0,43330,6,7221.7,5125.0,2090,19280,6199.1,cudaDeviceSynchronize
0.0,41179,40,1029.5,295.0,250,8930,1908.9,cudaEventCreateWithFlags
0.0,40240,1,40240.0,40240.0,40240,40240,0.0,cudaMemset
0.0,37770,5,7554.0,3740.0,3450,22440,8330.8,cuLaunchKernel
0.0,35400,40,885.0,715.0,210,2500,521.3,cudaEventDestroy
0.0,19280,5,3856.0,1140.0,580,8900,4121.4,cuLibraryGetKernel
0.0,16210,1,16210.0,16210.0,16210,16210,0.0,cudaStreamCreate
0.0,12520,52,240.8,190.0,130,930,136.5,cuMemGetAllocationGranularity
0.0,10250,6,1708.3,1360.0,1090,3470,912.2,cuInit
0.0,9930,41,242.2,210.0,170,670,101.6,cudaGetDriverEntryPointByVersion_v12050
0.0,9660,10,966.0,510.0,340,3100,920.2,cudaGetFuncBySymbol_v11000
0.0,9220,1,9220.0,9220.0,9220,9220,0.0,cudaMallocHost
0.0,8140,20,407.0,220.0,180,2030,490.4,cudaStreamGetCaptureInfo_v3_v12030
0.0,4530,9,503.3,400.0,110,1660,469.9,cuStreamGetGreenCtx
0.0,4120,4,1030.0,805.0,650,1860,572.3,cudaMemPoolSetAttribute_v11020
0.0,2680,5,536.0,140.0,110,2060,853.4,cuModuleGetLoadingMode
0.0,1980,5,396.0,370.0,180,630,174.7,cudaGetDeviceProperties_v2_v12000
