Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
8933181279,1044997,468,,,,,,,,,,16.777,16039.018,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,7,[CUDA memcpy Host-to-Device]
8934280004,386050,469,,,,,,,,,,8.389,21726.495,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,7,[CUDA memcpy Host-to-Device]
8934671878,4864,470,,,,,,,,,,8.389,1724630.696,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,7,[CUDA memset]
9480553958,544,1754,,,,,,,,,,0.002,4470.588,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9480711943,384,1765,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9480733031,224,1768,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9480738279,256,1771,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9480741415,256,1774,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9480744807,256,1777,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9480876200,352,1788,,,,,,,,,,0.000,45.455,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9481021737,480,1801,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9481142857,384,1812,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9481149385,256,1815,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9481152841,256,1818,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9481156393,256,1821,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9481159529,256,1824,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9481295914,384,1835,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9485433789,1120,1848,,,,,,,,,,0.024,21114.282,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9485618238,384,1859,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memset]
9485628542,224,1862,,,,,,,,,,0.000,71.429,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9485882239,256,1874,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9485887679,256,1877,,,,,,,,,,0.000,62.500,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9485897471,1024,1880,,,,,,,,,,0.024,23093.738,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,17,[CUDA memcpy Host-to-Device]
9519807964,704,4996,,,,,,,,,,0.002,3454.544,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memset]
9520149374,384,5007,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memset]
9520161118,224,5010,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
9520166430,256,5013,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
9520170718,224,5016,,,,,,,,,,0.000,35.714,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
9520172926,256,5019,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
9520448735,384,5030,,,,,,,,,,0.000,41.667,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memset]
9520748065,480,5043,,,,,,,,,,0.002,5066.666,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memset]
9521084930,384,5054,,,,,,,,,,0.000,187.500,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memset]
9521091714,256,5057,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
9521095234,256,5060,,,,,,,,,,0.000,31.250,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,25,[CUDA memcpy Host-to-Device]
