Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.5,51824111,4,12956027.8,13717230.5,4408293,19981357,6418839.6,cuLibraryLoadData
18.9,26805644,8,3350705.5,2716163.5,1587430,6125142,1646867.8,cuMemExportToShareableHandle
9.8,13892576,32,434143.0,151264.0,71839,3792237,811821.0,cuMemSetAccess
5.7,8056181,10,805618.1,4540.0,3630,8005761,2529873.7,cuLaunchKernelEx
5.6,8014429,32,250450.9,146824.0,72559,1361481,315608.2,cuMemUnmap
3.5,5026348,8,628293.5,592716.5,108309,1355961,428642.9,cuMemImportFromShareableHandle
2.7,3847127,64,60111.4,31620.0,190,436558,84778.3,cuMemRelease
2.5,3597689,10,359768.9,6435.0,2090,1777200,745802.6,cudaHostAlloc
2.5,3495848,6,582641.3,2870.0,1230,3034881,1214700.6,cudaDeviceSynchronize
2.2,3155532,3,1051844.0,1048654.0,803556,1303322,249898.3,cudaMemcpy
2.2,3126401,10,312640.1,20935.0,9720,1544910,623041.7,cudaFreeHost
1.6,2300117,13,176932.1,101160.0,1340,1142073,295875.5,cudaFree
1.0,1473291,5,294658.2,470.0,400,1471251,657735.4,cuKernelGetFunction
1.0,1378172,41,33614.0,1030.0,460,726116,145156.5,cudaStreamWaitEvent
1.0,1364859,24,56869.1,48264.5,24740,235089,43423.7,cuMemCreate
0.9,1321503,10,132150.3,123524.5,3450,287548,69470.0,cudaMalloc
0.8,1200434,32,37513.6,40100.0,2150,89229,24906.5,cuMemMap
0.2,333708,5,66741.6,7340.0,3530,303178,132269.5,cudaStreamCreateWithFlags
0.2,246069,1257,195.8,160.0,70,3130,134.3,cuGetProcAddress_v2
0.2,237658,27,8802.1,6650.0,2700,31720,6828.2,cudaMemcpyAsync
0.1,169920,21,8091.4,5500.0,3410,28880,6781.0,cudaMemsetAsync
0.1,154757,37,4182.6,3280.0,1930,13140,2576.5,cudaEventRecord
0.1,134859,2,67429.5,67429.5,24699,110160,60430.1,cudaMemPoolCreate_v11020
0.1,133790,32,4180.9,3705.0,2520,8230,1293.4,cuMemAddressFree
0.1,128390,32,4012.2,2985.0,1160,20120,4306.5,cuMemAddressReserve
0.1,111540,2,55770.0,55770.0,3110,108430,74472.5,cudaStreamCreate
0.1,105839,2,52919.5,52919.5,49360,56479,5033.9,cudaMemPoolDestroy_v11020
0.1,87938,152,578.5,365.0,150,4360,646.1,cudaThreadExchangeStreamCaptureMode_v10010
0.1,81448,7,11635.4,8560.0,3580,20300,5898.9,cudaStreamDestroy
0.0,62240,32,1945.0,1345.0,760,8900,1724.4,cuMemRetainAllocationHandle
0.0,53330,10,5333.0,3860.0,2150,16020,4302.9,cudaStreamSynchronize
0.0,38880,5,7776.0,4650.0,3970,20920,7369.1,cuLaunchKernel
0.0,32499,1,32499.0,32499.0,32499,32499,0.0,cudaMemset
0.0,25280,2,12640.0,12640.0,8190,17090,6293.3,cudaMemcpy2DAsync
0.0,20930,5,4186.0,5280.0,600,6920,2976.9,cuLibraryGetKernel
0.0,20640,31,665.8,350.0,210,2570,604.0,cudaEventDestroy
0.0,14090,27,521.9,330.0,250,2230,481.9,cudaEventCreateWithFlags
0.0,11100,1,11100.0,11100.0,11100,11100,0.0,cudaEventQuery
0.0,10470,32,327.2,205.0,120,1160,262.0,cuMemGetAllocationGranularity
0.0,9260,34,272.4,225.0,170,770,117.8,cudaGetDriverEntryPoint_v11030
0.0,9110,5,1822.0,1900.0,1410,2260,321.0,cuInit
0.0,6110,10,611.0,380.0,210,2070,641.0,cudaStreamGetCaptureInfo_v2_v11030
0.0,4559,25,182.4,80.0,60,1940,370.0,cuStreamGetCaptureInfo_v2
0.0,4200,10,420.0,225.0,160,1100,357.7,cudaGetFuncBySymbol_v11000
0.0,3500,4,875.0,520.0,410,2050,787.1,cudaEventCreate
0.0,2550,4,637.5,150.0,110,2140,1002.0,cuModuleGetLoadingMode
0.0,1880,2,940.0,940.0,520,1360,594.0,cudaMemPoolSetAttribute_v11020
