Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.4,45670998,4,11417749.5,13827049.5,3026391,14990508,5622041.4,cuLibraryLoadData
16.9,24619717,8,3077464.6,2869517.5,851004,6444650,1730227.8,cuMemExportToShareableHandle
10.5,15270716,6,2545119.3,3505.0,1500,14836769,6024000.8,cudaDeviceSynchronize
8.1,11813794,32,369181.1,157219.0,84859,2315465,550623.9,cuMemSetAccess
5.3,7773381,8,971672.6,1021893.5,252588,1734329,516708.5,cuMemImportFromShareableHandle
4.3,6289054,32,196532.9,115115.0,72299,1231752,271101.3,cuMemUnmap
3.5,5048382,24,210349.3,60699.5,23730,1483021,360824.4,cuMemCreate
3.3,4818801,10,481880.1,6275.0,2110,3024801,1047495.6,cudaHostAlloc
3.1,4459683,10,445968.3,4400.0,3400,4415853,1394876.4,cuLaunchKernelEx
2.2,3166445,64,49475.7,26060.0,130,441587,70663.5,cuMemRelease
2.1,3017091,3,1005697.0,1052123.0,439697,1525271,544274.1,cudaMemcpy
2.0,2903142,10,290314.2,22525.0,9660,1384062,572290.2,cudaFreeHost
1.7,2407135,13,185164.2,100760.0,1560,1170802,305201.1,cudaFree
1.1,1591808,32,49744.0,44435.0,2170,167299,40754.0,cuMemMap
1.0,1519481,5,303896.2,610.0,450,1517301,678313.9,cuKernelGetFunction
1.0,1403792,41,34238.8,820.0,460,687126,147852.2,cudaStreamWaitEvent
0.9,1271541,10,127154.1,115434.0,3810,278118,67088.0,cudaMalloc
0.2,283308,5,56661.6,7560.0,3330,252088,109388.9,cudaStreamCreateWithFlags
0.2,254119,1257,202.2,160.0,70,6300,221.0,cuGetProcAddress_v2
0.1,216970,26,8345.0,6600.0,2590,32100,6545.4,cudaMemcpyAsync
0.1,168449,21,8021.4,5520.0,3290,25020,6197.4,cudaMemsetAsync
0.1,154480,32,4827.5,3275.0,1250,45990,7996.6,cuMemAddressReserve
0.1,143170,32,4474.1,3910.0,1770,16430,2635.9,cuMemAddressFree
0.1,138729,37,3749.4,3100.0,1740,11250,2211.0,cudaEventRecord
0.1,120740,2,60370.0,60370.0,21420,99320,55083.6,cudaMemPoolCreate_v11020
0.1,117519,2,58759.5,58759.5,51499,66020,10267.9,cudaMemPoolDestroy_v11020
0.1,109889,2,54944.5,54944.5,3250,106639,73107.1,cudaStreamCreate
0.1,90410,152,594.8,360.0,140,6450,829.4,cudaThreadExchangeStreamCaptureMode_v10010
0.1,81058,7,11579.7,9079.0,3830,18140,5532.6,cudaStreamDestroy
0.1,77280,32,2415.0,1215.0,720,16130,3236.5,cuMemRetainAllocationHandle
0.0,62409,10,6240.9,4099.5,2300,16950,5462.2,cudaStreamSynchronize
0.0,45160,3,15053.3,12790.0,11650,20720,4940.5,cudaMemcpy2DAsync
0.0,38589,5,7717.8,4150.0,3970,21339,7625.7,cuLaunchKernel
0.0,36850,1,36850.0,36850.0,36850,36850,0.0,cudaMemset
0.0,21460,31,692.3,400.0,230,2750,669.2,cudaEventDestroy
0.0,20010,5,4002.0,5170.0,500,6530,2898.7,cuLibraryGetKernel
0.0,15190,27,562.6,310.0,250,2210,541.6,cudaEventCreateWithFlags
0.0,11210,1,11210.0,11210.0,11210,11210,0.0,cudaEventQuery
0.0,10030,32,313.4,220.0,100,1180,269.4,cuMemGetAllocationGranularity
0.0,9820,5,1964.0,1880.0,1420,3100,677.8,cuInit
0.0,8500,34,250.0,220.0,170,680,100.3,cudaGetDriverEntryPoint_v11030
0.0,6060,10,606.0,380.0,210,2110,614.0,cudaStreamGetCaptureInfo_v2_v11030
0.0,4440,25,177.6,80.0,70,1790,343.7,cuStreamGetCaptureInfo_v2
0.0,3640,10,364.0,225.0,100,870,276.0,cudaGetFuncBySymbol_v11000
0.0,3520,4,880.0,415.0,310,2380,1003.1,cudaEventCreate
0.0,2200,4,550.0,145.0,90,1820,847.3,cuModuleGetLoadingMode
0.0,1880,2,940.0,940.0,520,1360,594.0,cudaMemPoolSetAttribute_v11020
