kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"portf_diag_kernel(float *, int, int)",56.064,56.064,0.905002,0.905002,,99.909234,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.488,51.488,38.65244,38.65244,,99.717639,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",127.552,127.552,78.761836,78.761836,,96.675379,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.768,56.768,0.888974,0.888974,,99.570653,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.936,51.936,37.29257,37.29257,,99.926358,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",118.976,118.976,79.270646,79.270646,,96.560965,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.192,56.192,0.894616,0.894616,,99.556589,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.584,51.584,36.140921,36.140921,,99.795931,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",112.96,112.96,78.297355,78.297355,,96.59004,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.608,56.608,0.897451,0.897451,,100.782484,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.232,51.232,34.845272,34.845272,,99.643062,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",105.6,105.6,78.062722,78.062722,,96.617131,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.832,56.832,0.888642,0.888642,,99.814132,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.328,51.328,33.679385,33.679385,,99.769284,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",98.944,98.944,77.494693,77.494693,,96.655391,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.704,56.704,0.89096,0.89096,,99.362139,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.328,51.328,32.47983,32.47983,,99.778819,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",91.68,91.68,77.895029,77.895029,,96.666305,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",57.184,57.184,0.886757,0.886757,,100.538468,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.328,51.328,31.233107,31.233107,,99.676778,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",86.272,86.272,76.282308,76.282308,,96.677948,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",56.544,56.544,0.896273,0.896273,,100.148482,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.648,51.648,29.875121,29.875121,,99.821373,16.0,2.0,3.0,1.0,23.0,,,,
"trailing_matrix_kernel(float *, int, int)",79.456,79.456,76.723691,76.723691,,96.558376,16.0,2.0,3.0,1.0,29.0,,,,
"portf_diag_kernel(float *, int, int)",55.424,55.424,0.913449,0.913449,,99.251282,16.0,2.0,7.0,1.0,25.0,,,,
"column_update_kernel(float *, int, int)",51.328,51.328,28.710508,28.710508,,100.134479,16.0,2.0,3.0,1.0,23.0,,,,
